geoid,pct_povinc_below2,ed_highschool_below_pct,unemployed_pct,pct_limited_eng
37047930100,54.93562231759657,42.80155642023346,5.623543123543124,7.183133120862957
37047930200,55.39452495974235,38.039974210186976,1.9886363636363635,2.9934518241347052
37047930300,61.88630490956072,29.32177460479347,2.9558890404729423,0.9022556390977443
37047930400,53.80997177798683,39.39732142857143,3.5177486408698435,3.6459782911216254
37047930500,53.20959010054138,29.97127353973827,5.124653739612189,0.8827856792545365
37047930600,51.02272727272727,38.31447522434647,3.2637954239569313,1.4272970561998215
37047930700,61.339790153349476,33.10205261636311,6.198243412797993,5.077062556663645
37047930800,63.0019120458891,27.955039883973893,1.606425702811245,1.3428336530556317
37047930900,60.22364217252396,42.68330733229329,4.012174875484228,0.48342541436464087
37047931000,59.3342981186686,38.79079721776351,2.491582491582492,3.1129156999226604
37047931100,68.4257602862254,40.588893030190086,2.0659780073308895,0.0
37047931200,56.796769851951545,43.339731285988485,1.3061484549219498,1.4379271070615034
37047931300,57.073170731707314,38.333333333333336,2.621264086232239,6.004220218684059
