geoid,B01001_001E,B01001_002E,B01001_003E,B01001_020E,B01001_021E,B01001_022E,B01001_023E,B01001_024E,B01001_025E,B01001_026E,B01001_027E,B01001_044E,B01001_045E,B01001_046E,B01001_047E,B01001_048E,B01001_049E,B02001_001E,B02001_002E,B06007_001E,B06007_002E,B06007_003E,B06007_004E,B06007_005E,B06007_006E,B06007_007E,B06007_008E,B06007_033E,B06007_034E,B06007_035E,B06007_036E,B06007_037E,B06007_038E,B06007_039E,B06007_040E,B15003_001E,B15003_002E,B15003_003E,B15003_004E,B15003_005E,B15003_006E,B15003_007E,B15003_008E,B15003_009E,B15003_010E,B15003_011E,B15003_012E,B15003_013E,B15003_014E,B15003_015E,B15003_016E,B15003_017E,B15003_018E,B15003_019E,B15003_020E,B15003_021E,B15003_022E,B15003_023E,B15003_024E,B15003_025E,B17026_001E,B17026_002E,B17026_003E,B17026_004E,B17026_005E,B17026_006E,B17026_007E,B17026_008E,B17026_009E,B17026_010E,B17026_011E,B17026_012E,B17026_013E,B19013_001E,B23025_001E,B23025_002E,B23025_003E,B23025_004E,B23025_005E,B23025_006E,B23025_007E,B25002_001E,B25002_002E,B25002_003E,B25003_001E,B25003_002E,B25003_003E
37047930100,4293,2109,120,124,71,107,44,20,8,2184,94,31,103,105,35,60,10,4293,2530,4079,3535,534,241,293,10,10,0,288,56,232,40,192,0,0,0,2827,71,0,0,0,11,28,0,10,14,119,11,53,95,147,1,949,119,252,321,327,267,31,1,0,1165,57,41,39,46,92,142,42,19,280,163,82,162,38450,3432,1936,1936,1743,193,0,1496,1957,1669,288,1669,1222,447
37047930200,2246,1118,62,26,3,42,48,20,19,1128,46,7,36,52,62,14,31,2246,1035,2138,1946,154,95,59,38,33,5,119,3,96,37,59,20,20,0,1551,40,0,0,1,20,0,0,2,7,9,72,32,68,116,45,422,88,148,225,127,114,15,0,0,621,56,25,52,23,34,21,11,25,78,111,88,97,45987,1760,980,978,943,35,2,780,993,851,142,851,631,220
37047930300,2765,1241,40,37,49,37,64,86,30,1524,65,28,57,117,96,64,101,2765,1885,2660,2590,61,39,22,9,7,2,61,14,44,29,15,3,3,0,1961,10,6,0,0,0,0,0,0,11,50,21,35,52,33,74,485,64,137,388,218,242,87,34,14,774,78,52,12,23,28,36,15,10,120,62,113,225,48000,2199,978,978,913,65,0,1221,1579,1054,525,1054,790,264
37047930400,3677,1702,77,14,105,76,46,70,36,1975,7,98,62,154,153,91,13,3677,1612,3593,3296,297,166,131,0,0,0,96,24,72,11,61,0,0,0,2688,86,0,0,0,0,0,37,0,36,8,40,31,34,83,48,799,88,209,542,217,190,165,58,17,1063,88,12,67,68,56,112,45,19,162,220,109,105,36672,3127,1427,1427,1317,110,0,1700,1879,1606,273,1606,1276,330
37047930500,4252,1968,101,74,146,106,72,34,45,2284,73,88,144,231,86,85,62,4252,2466,4078,3973,58,22,36,47,47,0,53,17,36,0,36,0,0,0,3133,24,0,0,17,0,0,1,6,1,1,28,21,208,146,44,744,147,423,588,433,196,63,42,0,1293,85,39,87,82,40,32,49,64,220,258,127,210,31560,3610,1573,1573,1388,185,0,2037,2110,1818,292,1818,1504,314
37047930600,3530,1558,29,7,42,100,57,27,10,1972,138,30,58,150,62,16,24,3530,2667,3363,3259,104,56,48,0,0,0,62,0,62,17,45,0,0,0,2563,42,12,0,1,10,2,11,0,15,34,42,105,126,125,23,765,121,214,326,277,234,72,6,0,880,15,11,43,97,11,56,17,34,220,145,66,165,39338,2972,1680,1680,1583,97,0,1292,1817,1481,336,1481,1208,273
37047930700,4822,2450,133,63,61,147,42,112,21,2372,277,61,50,104,91,88,63,4822,2779,4412,3997,199,174,25,216,17,199,298,36,94,69,25,168,0,168,3459,42,0,0,0,25,29,0,8,44,20,90,114,240,202,0,869,192,256,385,335,517,53,17,21,1239,103,30,123,77,134,51,20,35,200,187,92,187,34408,3985,1930,1930,1683,247,0,2055,2416,2118,298,2118,1447,671
37047930800,3743,1825,36,104,82,96,9,39,44,1918,58,36,106,165,44,70,75,3743,2666,3649,3462,187,138,49,0,0,0,49,0,49,0,49,0,0,0,2758,21,0,0,0,0,0,0,0,0,26,49,56,49,44,18,661,68,289,390,405,453,181,22,26,1046,103,0,0,40,71,74,9,8,78,151,158,354,57407,2988,1808,1808,1760,48,0,1180,1914,1632,282,1632,1263,369
37047930900,4764,1990,161,19,57,172,74,29,68,2774,259,14,205,169,115,0,82,4764,1839,4344,4161,71,55,16,112,107,5,164,31,21,5,16,112,107,5,3205,62,0,0,0,0,0,23,0,0,28,51,123,92,80,23,1019,225,316,480,194,311,102,15,61,1252,150,70,151,107,120,61,0,16,191,141,166,79,25202,3614,1287,1287,1142,145,0,2327,2412,1971,441,1971,967,1004
37047931000,5406,3132,199,4,173,122,140,53,37,2274,35,73,41,114,87,104,17,5406,3328,5172,4806,265,162,103,101,43,58,131,0,73,20,53,58,0,58,3738,24,0,0,0,21,2,0,8,40,31,36,147,104,78,40,1194,208,316,775,271,295,87,25,36,1382,96,95,44,113,160,37,0,12,288,152,122,263,40827,4455,1993,1993,1882,111,0,2462,2271,2024,247,2024,1469,555
37047931100,4046,2114,273,10,91,79,43,17,0,1932,24,39,62,138,67,36,30,4046,3298,3749,3739,10,10,0,0,0,0,65,65,0,0,0,0,0,0,2683,11,0,0,0,0,0,9,0,10,37,10,120,117,142,24,825,242,181,451,259,183,62,0,0,1118,175,57,39,69,111,66,19,25,200,137,16,204,34830,3001,1393,1358,1296,62,35,1608,1639,1491,148,1491,1023,468
37047931200,7289,4186,98,54,102,114,38,27,27,3103,167,44,152,166,145,148,79,7289,4221,7024,6698,250,155,95,76,70,6,141,4,123,80,43,14,8,6,5210,52,0,0,0,0,15,0,14,9,83,241,198,190,357,81,1561,593,434,668,285,241,170,13,5,1486,72,94,66,35,158,82,4,53,329,201,112,280,38298,6278,2197,2197,2115,82,0,4081,2688,2336,352,2336,1537,799
37047931300,5460,2588,114,65,40,121,17,49,19,2872,133,64,130,60,89,128,42,5460,4572,5213,4528,647,372,275,38,0,38,313,0,275,0,275,38,0,38,3600,84,0,0,0,0,0,43,0,130,58,18,104,135,108,60,1027,185,538,347,363,302,91,7,0,1435,81,187,0,90,82,95,41,11,333,159,124,232,32480,4082,2082,2082,1975,107,0,2000,2575,2255,320,2255,1704,551
